1V,1V_timestamp,1V5,1V5_timestamp,1V8,1V8_timestamp,5V,5V_timestamp,3V3,3V3_timestamp
4142.0,2023-08-17 17:16:38.323675,406.0,2023-08-17 17:16:38.355787,430.0,2023-08-17 17:16:38.371778,176.0,2023-08-17 17:16:38.387595,538.0,2023-08-17 17:16:38.403525
4158.0,2023-08-17 17:16:38.467584,408.0,2023-08-17 17:16:38.483504,430.0,2023-08-17 17:16:38.499535,172.0,2023-08-17 17:16:38.516171,538.0,2023-08-17 17:16:38.547382
4172.0,2023-08-17 17:16:38.611385,406.0,2023-08-17 17:16:38.627425,430.0,2023-08-17 17:16:38.643570,176.0,2023-08-17 17:16:38.659518,538.0,2023-08-17 17:16:38.675389
4176.0,2023-08-17 17:16:38.739521,406.0,2023-08-17 17:16:38.771297,428.0,2023-08-17 17:16:38.787360,174.0,2023-08-17 17:16:38.803724,540.0,2023-08-17 17:16:38.819449
4162.0,2023-08-17 17:16:38.883936,406.0,2023-08-17 17:16:38.915418,428.0,2023-08-17 17:16:38.931353,176.0,2023-08-17 17:16:38.947266,538.0,2023-08-17 17:16:38.963533
4164.0,2023-08-17 17:16:39.027774,408.0,2023-08-17 17:16:39.043716,432.0,2023-08-17 17:16:39.059477,174.0,2023-08-17 17:16:39.091392,538.0,2023-08-17 17:16:39.107391
4170.0,2023-08-17 17:16:39.171759,408.0,2023-08-17 17:16:39.187621,430.0,2023-08-17 17:16:39.219381,176.0,2023-08-17 17:16:39.235202,538.0,2023-08-17 17:16:39.251287
4172.0,2023-08-17 17:16:39.315208,408.0,2023-08-17 17:16:39.347301,428.0,2023-08-17 17:16:39.363480,176.0,2023-08-17 17:16:39.379332,538.0,2023-08-17 17:16:39.395155
4160.0,2023-08-17 17:16:39.459274,406.0,2023-08-17 17:16:39.475427,430.0,2023-08-17 17:16:39.491353,174.0,2023-08-17 17:16:39.523404,540.0,2023-08-17 17:16:39.539442
4162.0,2023-08-17 17:16:39.603108,406.0,2023-08-17 17:16:39.619470,428.0,2023-08-17 17:16:39.651138,174.0,2023-08-17 17:16:39.667342,540.0,2023-08-17 17:16:39.683429
4172.0,2023-08-17 17:16:39.747045,408.0,2023-08-17 17:16:39.763069,428.0,2023-08-17 17:16:39.779091,176.0,2023-08-17 17:16:39.795414,538.0,2023-08-17 17:16:39.827287
4148.0,2023-08-17 17:16:39.891073,408.0,2023-08-17 17:16:39.907072,428.0,2023-08-17 17:16:39.923072,174.0,2023-08-17 17:16:39.939059,540.0,2023-08-17 17:16:39.955125
